lat,lat_dir,long,long_dir,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
5,N,180,W,,,1326.084,3880.946,236.319,252.734,96.624,2207.582,4111.155,645.665,424.067,1310.099,413.806,987.626,1375.052,839.488,655.285,293.611,229.938,502.703,1302.609,739.536,1382.947,435.189,178.698,2395.868,707.142,974.937,688.421,141.502,519.471,,469.359,1499.835,1404.521,1558.851,433.902,1034.937,96.162,35.094,309.415,97.824,475.716,814.934,334.177,678.271,493.494,301.724
5,N,175,W,,,2989.463,1480.576,359.535,464.932,555.03,825.647,3130.929,723.512,1001.972,537.191,572.144,1158.156,1643.226,334.003,592.117,144.479,60.952,181.181,788.69,725.729,1747.036,544.097,273.812,155.143,1042.65,1001.305,320.313,255.371,578.665,108.27,739.803,1736.196,2576.923,1295.034,1024.469,1525.187,217.639,266.732,618.976,181.592,507.954,407.547,1016.523,785.209,820.52,169.435
5,N,170,W,,,827.448,608.762,,527.404,971.873,466.07,2207.659,423.277,2794.814,697.771,799.13,671.17,1891.37,805.256,294.325,282.11,102.129,676.503,1490.87,1325.751,1228.29,561.329,676.456,237.688,652.012,929.846,595.981,372.069,472.884,,203.653,817.222,518.925,427.565,523.117,1135.773,165.008,,299.626,151.629,636.917,299.786,891.448,669.422,314.732,274.804
5,N,165,W,,,,,,,1343.073,963.408,1915.685,598.699,1738.67,2153.458,1624.824,546.557,1780.051,900.852,547.204,1568.77,482.64,1340.156,1927.359,869.42,1199.425,724.945,988.706,730.68,611.255,603.866,267.405,375.616,308.777,48.332,48.086,,586.909,,,108.418,127.103,98.799,,,,,150.665,44.3,122.988,83.123
5,N,160,W,,,,,,123.311,174.788,464.596,193.149,,644.414,3095.692,2100.184,1269.827,2061.814,229.344,1013.239,970.318,111.351,1690.808,1121.847,643.581,1205.652,1603.1,940.471,619.701,793.267,805.051,57.057,557.634,172.693,98.788,247.452,363.103,1758.667,2203.673,541.387,1375.233,839.672,587.169,2319.73,334.948,836.646,617.972,2016.966,1646.399,1437.118,1503.518
5,N,155,W,,,,,,231.764,145.977,553.677,,141.748,479.344,1851.126,893.885,838.098,2034.522,762.329,697.048,1004.839,666.294,2272.024,2154.825,1863.42,1084.546,1637.054,1572.193,537.611,1138.955,1318.516,398.006,1437.26,453.806,469.078,682.344,885.382,1385.391,2233.183,764.066,813.833,979.341,1422.913,625.805,383.742,1695.021,1103.717,1201.233,1625.183,774.841,500.773
5,N,150,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N,145,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N,140,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N,135,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
