LAT,LAT_D,LONG,LONG_D,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15,N,155,W,388.874,50.827,,434.396,156.487,77.183,75.999,523.596,546.92,379.913,761.412,470.917,567.77,218.048,89.774,119.574,82.366,105.205,147.143,131.692
15,N,160,W,1166.321,1111.142,768.373,928.966,391.304,739.799,771.174,547.482,836.149,1334.326,1262.826,1076.716,835.436,567.358,288.547,302.094,496.968,392.415,290.704,468.691
15,N,165,W,1374.563,1445.048,2879.036,1251.481,685.214,1020.349,1219.067,651.91,1770.693,1419.456,1116.644,1139.346,1778.407,1415.939,619.71,702.166,1599.198,1278.607,820.681,1159.824
15,N,170,W,,,71.256,,,497.307,507.368,599.532,281.185,435.718,74.544,372.194,320.039,378.88,120.172,25.631,325.971,385.2,224.095,157.286
15,N,175,W,88.159,,,,,,22.38,,,77.821,126.339,,,36.923,31.232,19.771,,83.688,43.172,13.217
15,N,180,W,,,,337.483,83.556,20.275,,25.282,29.208,118.173,270.118,38.109,148.747,305.237,33.328,4.258,79.121,308.232,402.489,184.503
20,N,110,E,,,,,,,,,,,,,,,,,,,,
20,N,115,E,,,,,,,,,,2398.511,3007.703,2675.778,267.463,295.467,469.707,255.691,124.009,45.597,95.372,17.922
20,N,120,E,358.837,248.905,367.337,457.919,345.197,293.236,247.156,158.265,184.132,11605.864,12258.108,7576.121,3775.602,1540.969,2426.011,2040.536,937.059,607.391,541.201,714.088
20,N,125,E,925.032,655.476,1117.888,863.098,789.441,616.085,564.539,510.023,432.976,715.601,490.19,521.748,860.805,712.02,1115.849,1667.674,1052.964,1018.399,648.061,882.715
20,N,130,E,1719.657,1190.633,1113.156,1831.254,1650.587,1222.986,1190.22,988.652,1159.838,962.34,570.512,238.153,310.109,308.684,607.456,874.68,818.012,403.672,425.247,793.997
20,N,135,E,959.293,631.365,307.394,776.314,506.576,583.265,780.364,256.477,944.942,276.245,101.494,62.017,30.219,202.758,493.554,1286.398,261.754,516.343,497.511,1080.981
20,N,140,E,1093.153,510.663,127.332,228.494,186.772,350.883,349.102,99.663,470.267,,,150.589,243.295,226.509,369.336,693.281,434.193,328.228,388.346,329.013
20,N,145,E,684.312,723.76,313.075,241.455,421.349,997.579,550.835,158.891,709.923,24.468,45.313,,594.351,743.747,787.478,733.558,539.695,739.509,993.097,531.214
20,N,150,E,371.956,1361.249,1891.992,830.825,1028.501,1856.099,942.936,175.563,645.83,635.173,319.56,256.305,1767.124,873.61,908.849,1259.025,1275.783,819.6,1078.259,1269.846
20,N,155,E,350.258,793.938,602.991,,442.616,379.014,97.715,78.673,25.892,97.349,57.216,,475.493,381.358,220.168,550.952,411.907,631.182,347.07,691.54
20,N,160,E,172.951,584.12,943.534,75.455,323.695,282.73,392.734,126.592,,,55.904,79.403,292.05,241.447,107.127,129.124,518.354,265.53,132.084,501.53
20,N,165,E,,,61.025,169.28,234.79,145.497,155.119,195.177,,,,,253.206,93.722,30.911,9.469,30.586,53.211,73.844,21.738
20,N,170,E,91.583,,102.976,163.549,,72.681,309.484,143.918,84.696,,110.885,,212.779,168.429,112.014,34.293,94.588,168.96,60.908,108.488
20,N,175,E,,,,523.619,490.45,60.287,37.275,,82.543,,43.623,49.115,295.257,207.215,47.175,10.736,96.945,54.983,25.984,59.269
20,N,155,W,866.738,324.517,121.713,533.533,916.21,287.949,526.503,855.216,1108.55,852.623,1053.488,960.253,792.823,894.737,652.131,333.246,526.427,304.361,657.048,643.992
20,N,160,W,1263.349,918.865,656.649,821.88,911.892,274.765,640.582,672.525,611.234,711.01,923.967,681.825,584.807,550.334,750.086,278.027,517.091,748.978,797.117,614.847
20,N,165,W,543.149,930.98,1475.279,430.443,510.581,369.412,473.497,504.244,521.98,338.231,468.553,525.754,277.969,538.625,171.299,95.823,422.238,692.661,484.72,217.228
20,N,170,W,84.867,255.495,582.094,488.836,119.471,135.324,38.173,66.264,194.444,22.584,96.921,623.139,416.623,423.479,275.288,66.497,486.525,266.427,365.733,235.211
20,N,175,W,,,60.831,,,294.824,,,41.338,59.071,,,,127.812,30.943,39.177,122.835,14.882,,
20,N,180,W,,100.858,,77.687,,29.078,76.932,,21.891,91.711,77.645,,63.485,79.252,13.685,,46.559,55.481,,
25,N,115,E,,,,,,,,,,,,,,,,,,,,
25,N,120,E,,,,,,,,,,345.702,473.465,462.918,589.344,112.883,278.453,259.851,41.917,46.097,37.713,
25,N,125,E,345.837,630.021,286.876,405.679,600.65,297.21,239.192,119.154,287.948,463.408,405.498,451.497,543.776,461.899,472.81,1081.927,1008.585,800.028,684.763,709.975
25,N,130,E,3761.485,3874.845,5916.245,5691.588,3854.693,6338.773,3627.003,4343.745,6450.991,3362.955,2898.938,3109.426,3044.642,1781.677,1858.481,3089.39,2277.273,2850.796,2338.295,3100.629
25,N,135,E,759.454,934.648,3192.27,3434.864,1881.591,2880.567,2584.644,1020.186,1143.773,858.544,2031.818,1092.804,1048.972,1120.447,1662.199,725.961,1699.756,2688.461,2471.281,1639.577
25,N,140,E,1360.902,1953.985,1510.745,1319.664,938.806,1791.728,1664.955,1102.219,1023.641,692.075,1005.858,1158.339,675.649,1358.737,717.523,1198.552,1188.205,1672.278,1257.229,577.26
25,N,145,E,614.819,1334.766,539.898,363.736,380.649,353.342,716.682,85.011,328.227,261.545,419.563,433.773,1061.883,994.799,659.172,878.753,1054.298,1776.626,1476.159,834.074
25,N,150,E,405.577,314.084,230.128,174.905,108.358,107.802,123.358,112.3,22.382,149.429,145.462,246.246,665.791,542.279,523.374,814.472,651.349,708.223,588.353,418.523
25,N,155,E,428.524,271.966,125.742,92.535,135.338,,154.873,102.341,33.993,120.102,161.709,135.93,861.124,1044.024,360.519,593.071,390.833,592.809,625.571,441.59
25,N,160,E,618.036,466.426,402.062,561.522,222.257,93.813,157.424,324.433,231.946,377.697,250.081,616.983,840.375,1413.76,469.75,897.942,970.132,706.055,699.035,924.394
25,N,165,E,437.316,501.69,687.057,688.904,555.15,639.962,165.238,557.348,216.136,485.123,558.556,675.904,935.495,478.196,700.471,494.879,1562.374,321.773,324.106,404.96
25,N,170,E,257.545,207.634,431.56,758.288,290.014,409.001,392.769,210.868,84.322,595.173,1262.394,568.403,838.305,309.92,256.2,170.88,722.48,163.179,123.569,183.934
25,N,175,E,,31.691,76.63,483.016,125.377,115.778,128.838,130.58,252.67,565.474,783.142,208.048,128.264,288.982,147.86,65.528,201.269,101.905,115.447,67.423
25,N,155,W,2671.686,402.028,1204.874,675.157,468.033,922.062,132.584,842.837,1119.427,332.046,926.739,430.471,486.568,551.084,357.692,447.028,453.956,614.038,912.529,1183.22
25,N,160,W,233.795,1023.001,1300.88,1301.234,474.493,831.456,601.491,749.92,633.842,342.553,1016.571,980.199,631.37,858.968,512.974,781.289,942.338,709.311,934.166,1023.328
25,N,165,W,633.911,616.914,363.93,242.592,21.369,289.816,527.369,179.036,364.37,463.854,651.357,660.551,617.016,923.528,406.073,626.26,779.839,749.805,571.173,782.606
25,N,170,W,169.768,186.027,,289.818,,255.401,145.86,313.657,74.019,433.566,734.287,263.39,211.07,502.954,284.306,448.725,471.478,372.276,253.277,216.648
25,N,175,W,,,,,,224.13,,,290.534,224.391,197.621,101.392,,78.719,,219.812,76.121,29.322,50.006,
25,N,180,W,135.591,,,,,,32.922,,,88.547,42.354,,,,,,,50.262,,
30,N,120,E,,,,,,,,,,,,,,,,,,,,
30,N,125,E,,,,,,,,,,,,,,,,,,,,
30,N,130,E,3203.712,3260.587,4313.057,2940.969,1925.956,1651.416,2569.088,4287.969,2974.52,4610.815,2346.129,2444.085,3228.642,2571.408,3704.291,2689.517,2549.463,2990.429,2866.466,1999.753
30,N,135,E,3407.033,5074.818,4520.184,4514.829,4315.793,2151.153,1544.998,2803.648,2927.444,3882.872,2676.035,2850.162,3350.084,3385.918,4646.9,2762.927,2306.581,3640.076,2271.95,2117.17
30,N,140,E,2116.228,3129.148,2408.567,3000.929,3290.458,1979.031,1666.663,2597.636,2359.371,2569.781,5092.628,4943.394,9252.078,5557.866,4509.946,2375.415,1937.393,1668.62,1699.641,1560.659
30,N,145,E,1436.684,2125.461,2422.872,1751.741,1842.803,1627.75,1173.653,607.725,1218.951,858.01,2140.61,2900.55,3201.228,2450.984,1927.499,1628.24,606.413,1016.54,813.386,1462.298
30,N,150,E,1014.066,695.787,1137.151,1289.919,1281.854,471.671,1433.892,577.142,1631.636,407.238,1846.416,1872.518,1892.543,880.37,800.102,802.215,492.421,1094.867,518.472,812.809
30,N,155,E,819.291,594.224,526.196,324.101,307.853,914.286,762.707,325.807,748.028,337.122,563.56,1197.126,1228.885,599.187,621.958,839.361,779.675,1209.745,973.582,515.381
30,N,160,E,1713.985,2190.543,931.75,630.703,1233.232,542.799,931.924,395.364,236.22,476.223,245.929,745.934,621.526,942.601,642.793,759.624,720.403,1061.585,830.162,926.643
30,N,165,E,583.381,1564.389,636.149,371.685,559.723,155.496,536.262,591.459,460.16,207.485,520.549,519.234,636.359,826.121,216.376,388.69,313.57,850.522,29.297,318.964
30,N,170,E,509.22,898.21,1553.245,1304.78,882.599,568.403,808.149,657.294,444.686,1187.48,1100.021,1202.478,1655.205,1349.531,494.192,1070.331,1350.11,1218.612,783.612,1034.253
30,N,175,E,233.657,29.402,210.44,,308.863,393.083,281.485,857.629,939.78,926.874,376.274,679.673,862.779,789.473,323.739,371.225,876.694,561.196,876.861,319.312
30,N,155,W,691.675,1176.304,950.224,754.161,1326.571,183.894,180.201,252.105,392.181,649.287,805.021,645.636,848.633,955.064,338.385,570.592,863.67,1204.814,1079.248,1097.408
30,N,160,W,344.405,881.231,395.532,506.556,630.689,388.481,449.414,578.266,691.553,657.431,1167.579,1602.892,811.146,1217.453,881.19,561.913,631.838,916.803,1007.273,522.777
30,N,165,W,725.963,1298.385,205.312,377.405,411.355,1032.162,401.632,261.066,489.767,1196.803,763.276,813.59,918.577,635.596,1091.149,262.042,687.232,711.127,827.025,495.054
30,N,170,W,381.622,215.863,495.617,59.54,98.882,314.158,95.323,274.103,722.737,1022.855,486.426,590.099,514.043,628.209,253.485,382.604,312.343,334.046,345.794,535.064
30,N,175,W,87.984,418.044,60.412,,,930.382,287.546,223.934,527.357,1299.8,530.526,519.603,314.972,222.657,188.349,218.691,134.58,163.911,112.395,327.394
30,N,180,W,81.66,107.854,204.739,,,44.542,69.09,232.56,210.403,307.493,281.162,77.988,92.853,329.859,71.749,148.767,36.441,53.519,,99.014
35,N,120,E,,,,,,,,,,,,,,,,,,,,
35,N,130,E,,,,,,,,,,,,,,,,,,,,
35,N,135,E,,,,,,,,,,,,,,,,,,,,
35,N,140,E,497.002,303.934,200.304,330.978,431.049,313.035,306.221,811.201,428.381,866.844,168.802,219.932,514.361,285.045,1264.218,232.055,366.4,361.976,534.234,722.193
35,N,145,E,1612.543,535.141,665.511,1031.757,876.903,564.711,670.86,554.801,1076.568,332.22,645.109,794.215,1125.073,1122.544,1092.024,632.999,903.563,360.618,310.195,444.948
35,N,150,E,2753.727,1596.226,2000.585,2216.489,1801.868,1166.48,1172.816,1077.144,1296.29,1125.884,1220.262,665.987,2692.206,1695.358,1319.915,780.254,1712.758,747.73,1086.868,679.943
35,N,155,E,1822.519,1678.325,1982.33,1542.539,2955.44,1744.27,1508.541,2529.144,1822.99,2995.783,2079.837,1961.932,1770.836,1235.101,905.525,2275.524,2244.707,1331.498,1524.96,1496.931
35,N,160,E,2418.354,1535.21,1297.986,549.253,1403.771,1183.883,568.117,536.822,160.094,273.879,626.371,1288.865,481.913,325.533,1119.032,763.042,1491.283,936.644,428.917,843.67
