,,,,Hundred Hooks,,,,,,,,,,,,,,,,,,,
LAT,LAT_D,LONG,LONG_D,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15,N,120,E,61567.35,35382.43,104731.33,101700.07,144795.76,73590.18,180154.15,200716.34,137477.74,38761.32,52198.4,16356.37,21964.12,33687.87,28284.59,27040.95,24482.26,12959.87,5556.15,3477.1
15,N,125,E,38318.28,29455.63,109316.12,94475.12,122390.59,81585.6,174548.72,190875.13,106019.94,7440.88,9664.62,6525.9,53896.95,39485.47,49306.78,79695.93,52556.39,39450.02,24758.33,24258.31
15,N,130,E,9091.31,5336.96,16493.72,13395.15,13258.09,24220.93,25253.44,26112.07,24062.7,10541.5,8679.68,11217.78,39179.81,38862.36,52515.4,47662.36,66829.84,53239.61,24682.34,25490.57
15,N,135,E,5310.14,1173.52,7097.39,8644.87,968.47,14194.6,28700.62,16711.25,21332.17,9387.71,12789.96,7888.22,20929.8,22794.61,16589.63,38127.41,44047.36,35729.43,22492.16,34149.58
15,N,140,E,,,1391.35,,,,4773.04,3317.31,,,3969.02,5762.38,7023.99,30698.72,18632.37,20477.37,39001.88,42452.19,23733.97,22589.96
15,N,145,E,,,,871.48,,,,,,,,,,2599.84,2311.18,1573.43,5827.34,5576.69,5583.36,
15,N,150,E,1379,2981.45,7708.17,13919.65,10372.7,19821.09,37857.47,19518.66,13819.52,16428.51,17824.45,9446.11,45661.84,42707.86,86656,47964.31,61613.21,60981.89,53857.1,35739.65
15,N,155,E,,5691.54,991.62,6017.12,7605.8,16537.74,7560.09,6121.26,,4897.9,5895.54,1976.57,16687.36,17525.59,55555.09,17856.24,37107.75,43004.2,34546.11,19041.71
15,N,160,E,,,4950.55,2940.53,3706.21,5037.39,12459.96,6628.83,,,1952.92,9032.24,13670.62,5986.58,15805.63,6628.45,12806.62,51199.39,28048.57,25563.71
15,N,165,E,,,,,,,,,,,,,1132.74,,,,,1069.21,2824.76,8190
15,N,170,E,,,,,,,8376.79,9264.78,1601.59,,5250.98,,2169.31,5473.79,2685.29,,,18072.72,13296.53,4842.33
15,N,175,E,,1331.88,,1778.04,11580.9,3529.89,11478.97,3553,1244.95,1271.97,11128.98,,9513.79,20016.32,3894.76,,5041.6,5812.02,20192.3,19953.5
15,N,155,W,7250,1328.89,,9632.8,4410.71,2326.07,2992.82,18924.02,19617.5,13813.74,28180.35,21537.4,23893.81,12716.22,6165.46,5041.79,4556.3,5237.43,6657.14,7969.52
15,N,160,W,23376.66,20734.73,15455.75,21068.14,15513.56,28817.8,30348.02,25240.29,34437.23,58640.93,49524.78,45272.63,41356.53,28865.2,19106.91,15679.39,23665.47,18128.4,15913.43,24613.18
15,N,165,W,24446.11,27204.11,46410.29,26362.21,24138.15,29994.49,35120.84,24368.9,60863.68,54143.26,36250.23,44871.9,60588.91,52727.46,33884.08,30872.57,60064.9,52672.96,35597.23,47199.12
15,N,170,W,,,800.01,,,11137,11773.04,15798.52,8085.5,14571.17,2229.25,11285.05,10565.27,10477.33,5754.79,1006.99,10503.2,13106.32,7967.41,5557.11
15,N,175,W,2424,,,,,,1458.33,,,3225.38,2697.64,,,2112.9,2773.43,1741.96,,3069.81,1980,988
